id,name_list_as,name_display_as,name_full_title,name_address_as,latest_party_id,latest_party_name,latest_party_short,latestParty_governmentType,latestParty_isIndependentParty,gender,membershipFrom,membershipFromId,membership_house,membershipStartDate,membershipEndDate,membershipEndReason,membershipEndReasonNotes,membershipEndReasonId,statusIsActive,statusDescription,statusNotes,statusId,status,statusStartDate
36,"Laing, Dame Eleanor","Dame Eleanor Laing","Rt Hon Dame Eleanor Laing MP","Dame Eleanor Laing",4,"Conservative","Con",0,false,"F","Epping Forest",3476,1,"1997-05-01T00:00:00","","","","",true,"Current Member","",0,0,"2019-12-12T00:00:00"
4630,"Lake, Ben","Ben Lake","Ben Lake MP","Ben Lake",22,"Plaid Cymru","PC","",false,"M","Ceredigion",3400,1,"2017-06-08T00:00:00","","","","",true,"Current Member","",0,0,"2019-12-12T00:00:00"
206,"Lammy, Mr David","Mr David Lammy","Rt Hon David Lammy MP","Mr Lammy",15,"Labour","Lab",3,false,"M","Tottenham",3811,1,"2000-06-22T00:00:00","","","","",true,"Current Member","",0,0,"2019-12-12T00:00:00"
4608,"Lamont, John","John Lamont","John Lamont MP","John Lamont",4,"Conservative","Con",0,false,"M","Berwickshire, Roxburgh and Selkirk",216,1,"2017-06-08T00:00:00","","","","",true,"Current Member","",0,0,"2019-12-12T00:00:00"
4852,"Largan, Robert","Robert Largan","Robert Largan MP","",4,"Conservative","Con",0,false,"M","High Peak",3534,1,"2019-12-12T00:00:00","","","","",true,"Current Member","",0,0,"2019-12-12T00:00:00"
4025,"Latham, Mrs Pauline","Mrs Pauline Latham","Mrs Pauline Latham MP","Mrs Pauline Latham",4,"Conservative","Con",0,false,"F","Mid Derbyshire",3604,1,"2010-05-06T00:00:00","","","","",true,"Current Member","",0,0,"2019-12-12T00:00:00"
4139,"Lavery, Ian","Ian Lavery","Ian Lavery MP","Ian Lavery",15,"Labour","Lab",3,false,"M","Wansbeck",3826,1,"2010-05-06T00:00:00","","","","",true,"Current Member","",0,0,"2019-12-12T00:00:00"
4403,"Law, Chris","Chris Law","Chris Law MP","Chris Law",29,"Scottish National Party","SNP","",false,"M","Dundee West",927,1,"2015-05-07T00:00:00","","","","",true,"Current Member","",0,0,"2019-12-12T00:00:00"
4923,"Leadbeater, Kim","Kim Leadbeater","Kim Leadbeater MP","",15,"Labour","Lab",3,false,"F","Batley and Spen",3309,1,"2021-07-01T00:00:00","","","","",true,"Current Member","",0,0,"2021-07-01T00:00:00"
4117,"Leadsom, Andrea","Andrea Leadsom","Rt Hon Andrea Leadsom MP","",4,"Conservative","Con",0,false,"F","South Northamptonshire",3747,1,"2010-05-06T00:00:00","","","","",true,"Current Member","",0,0,"2019-12-12T00:00:00"
345,"Leigh, Sir Edward","Sir Edward Leigh","Rt Hon Sir Edward Leigh MP","Sir Edward",4,"Conservative","Con",0,false,"M","Gainsborough",3492,1,"1983-06-09T00:00:00","","","","",true,"Current Member","",0,0,"2019-12-12T00:00:00"
4749,"Levy, Ian","Ian Levy","Ian Levy MP","",4,"Conservative","Con",0,false,"M","Blyth Valley",3341,1,"2019-12-12T00:00:00","","","","",true,"Current Member","",0,0,"2019-12-12T00:00:00"
4277,"Lewell-Buck, Mrs Emma","Mrs Emma Lewell-Buck","Mrs Emma Lewell-Buck MP","Mrs Lewell-Buck",15,"Labour","Lab",3,false,"F","South Shields",3749,1,"2013-05-02T00:00:00","","","","",true,"Current Member","",0,0,"2019-12-12T00:00:00"
4659,"Lewer, Andrew","Andrew Lewer","Andrew Lewer MP","Andrew Lewer",4,"Conservative","Con",0,false,"M","Northampton South",3661,1,"2017-06-08T00:00:00","","","","",true,"Current Member","",0,0,"2019-12-12T00:00:00"
4009,"Lewis, Sir Brandon","Sir Brandon Lewis","Rt Hon Sir Brandon Lewis MP","Sir Brandon Lewis",4,"Conservative","Con",0,false,"M","Great Yarmouth",3503,1,"2010-05-06T00:00:00","","","","",true,"Current Member","",0,0,"2019-12-12T00:00:00"
4500,"Lewis, Clive","Clive Lewis","Clive Lewis MP","Clive Lewis",15,"Labour","Lab",3,false,"M","Norwich South",3663,1,"2015-05-07T00:00:00","","","","",true,"Current Member","",0,0,"2019-12-12T00:00:00"
